job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function
4709,Python Engineer,"GB, , London",,,,"Stylect is a dynamic startup that helps helps women discover and buy shoes. We’re a small team based in London that has previously worked at Google, Techstars, Pixelmator and Rocket Internet.We place a high premium on simplicity no matter what we’re working on (i.e. design, programming, marketing). We’re also a team that ships fast. We built version 1 of our app in a week, the next release (built in a month) was featured in the Apple Appstore Italy as a best new fashion app. Fast release cycles are challenging, but also very fun - which is why we love them. As we’ve grown, the projects that we’re working on have grown both in scale and in technical complexity.  Stylect is looking for someone who can help us improve our backend which gathers product data; analyses/categorizes it; and shows it to thousands of users daily. Each step in the process has unique challenges that demands a strong technical background. ",We don’t care where you studied or what your GPA in college was. But we do want someone who is:Strong with Python and No SQL DatabasesEntrepreneurial--independent and can solve problems without being micro-managedCan brainstorm multiple approaches to solving problems instead of being attached to just one way of doing thingsIcing on the cakePrevious experience with Google Appengine’s Datastore (NDB)Previous experience at e-commerce and app-based startupsFull Stack Development Experience from the Frontend (either with apps or html) all the way to the linux server.An understanding of algorithms and experience with libraries to implement themExperience with machine learning and natural language processing,We are negotiable on salary and there is the potential for equity for the right candidate.,0,1,0,Full-time,Entry level,Unspecified,Apparel & Fashion,Information Technology
11080,Entry Level Sales,"US, OH, Cincinnati",,55000-75000,,"General Summary: Achieves maximum sales profitability, growth and account penetration within an assigned territory and/or market segment by effectively selling the company’s products and/or related services. Personally contacts and secures new business accounts/customers.CORE FUNCTIONS:•Promotes/sells/secures orders from existing and prospective customers through a relationship-based approach.•Demonstrates products and services to existing/potential customers and assists themin selecting those best suited to their needs.DETAILS OF FUNCTION:•Establishes, develops and maintains business relationships withcurrent customers and prospective customers in the assigned territory/market segment to generate new business for the organization’s products/services.•Makes telephone calls and in-person visits and presentations to existing and prospective customers.•Researches sources for developing prospective customers and for information to determine their potential.•Develops clear and effective written proposals/quotations for current and prospective customers.•Expedites the resolution of customer problems and complaints.•Coordinates sales effort with marketing, sales management, accounting, logistics and technical servicegroups.•Analyzes the territory/market’s potential and determines the value of existing and prospective customers value to the organization.•Creates and manages a customer value plan for existing customers highlighting profile, share and value opportunities.•Identifies advantages and compares organization’s products/services.•Plans and organizes personal sales strategy by maximizing the Return on Time Investment for the territory/segment.•Supplies management with oral and written reports on customer needs, problems, interests, competitive activities, and potential for new products and services.•Keeps abreast of product applications, technical services, market conditions, competitive activities, advertising and promotional trends through the reading of pertinent literature and consulting with marketing and technical service areas.QUALIFICATIONS:Demonstrated aptitude for problem-solving; ability to determine solutions for customers (consultative sales approach). Must be results-orientated and able to work both independently and within a team environment. Must possess excellent verbal and written communication skills. Proficiency in using Microsoft Office Suite applications and contact management software. Valid driver’s license.",,Great Health and DentalFast Advancement OpportunitiesGreat Income PotentialCompetitive Bonus ProgramCar Allowance,1,0,0,Full-time,Entry level,High School or equivalent,Financial Services,Sales
12358,Agile Project Manager,"US, NY, New York",,,"ustwo offers you the opportunity to be yourself, whilst delivering the best work on the planet for some of the biggest and most innovative brands. A culture thriving on collaboration underpins what is an amazing work smart/ live well environment.We genuinely care about the work that we deliver and the people who help make it all possible. We only invest in projects, people and practices that we believe in, to ensure we remain excited about every opportunity. ","At ustwo™ you get to be yourself, whilst delivering the best work on the planet for some of the biggest and most innovative brands. We have created something special here, with family values underpinning what is an amazing work smart/live well environment. We are dedicated to delivering top notch products on time, but we can always improve and get better at what we do. Our aim is to eliminate the discipline boundaries between our designers, testers and developers and to truly excel as a team. For this we need fresh ideas and we want to inspire people in the studio to let them grow. We believe in an open environment where we learn from our mistakes, so if you are a good listener and are passionate about sharing, helping and motivating people in cross functional teams - please get in touch!","Skills• Experience interfacing directly with clients • Experience facilitating projects in mobile and or web, apps, user interface or UX. • Experience working within an Agile process • Experience working with both small and bigger project teams • Experience working with designers, developers and testers in cross functional teams • Excellent time management • Demonstrate adaptability Nice to have... • Client-side experience for a major technology brand • Practical awareness and understanding of user experience • Confidence with budget controlResponsibilities• To coach and mentor your designated team in various aspects of their work • Collaborate with the family to continuously improve our working processes • Support the process of resource allocation • Keeping clients happy • Working with business development team to further develop clients • To be responsible with your team for estimates and delivery of the project • Organize projects using an Agile methodology • Collaboration with Account Director and Finance Director to ensure projects are resourced and budgeted effectively • To interface with clients and stakeholders • To understand client's complex organizational structures and to act accordingly The tools we use • Physical walls, Basecamp, Unfuddle, Jira Character Requirements • You have passion and hunger • Priorities team needs ahead of own • Detail oriented, well organized and self motivated • Excellent communication/presentation ability, capable of inspiring both colleagues &amp; clients • You are outgoing, personable, sociable and easy going • You are open to criticism from your team to benefit project development and understanding • You are always ready to learn and to share knowledge • You can deal with pressure and can work in a fast paced environment Qualifications • 4+ years project management experience • Excellent written and verbal communication skills Nice to have • Project management related qualification (i.e. SCRUM)",,0,1,0,,,,,
14512,Marketing Coordinator,"GB, GBN, London",Business:Marketing,,"We build software for fashion retailers, to help them make the right commercial decisions about what to sell, and how to price it. Fashion is the 4th biggest industry in the world, so this is actually a huge problem economically, as well as environmentally for everyone in the world. The Guardian called us one of the 20 hottest London startups, and we're a quickly growing team, with a product used by some of the best retailers in the world, and we're backed by the smartest investors in Europe, the same ones who backed Etsy, Dropbox, ASOS and Net-a-Porter.","About EDITDEDITD runs the world's biggest apparel data warehouse, which global and local retailers use to track the market, align product assortment and trade with competitive intelligence. EDITD’s software is the market leader in real-time analytics of pricing, assortment, and deep product metrics for apparel professionals in merchandising, buying, trading and strategy. Used by the world’s best fashion retailers, like Gap, ASOS and Target, across five continents, EDITD helps buyers and merchandisers to make the right trading decisions.The JobIn a direct marketing role, you'll be promoting EDITD product to both existing and potential customers. Your job is to help increase sales by raising the profile of our business, through targeted promotional marketing campaigns and strategies. Your focus will be to deliver the best customer experience through all channels including the website, email and social media. You will work directly with our Marketing Director as well as other team members to deliver top quality content to our customers and to our target audiences. We expect you to be passionate about our product and to be excited about helping us to create highly professional content and campaigns which are also engaging and fun to read.Key Responsibilities:Developing consumer-focused communication campaignsDeveloping nurturing campaigns for marketing leadsOrganising industry and networking eventsPreparing reports based on performance resultsUpdating our press siteManaging our social channelsBuilding rapport and establish relationship with industry professionals and clients.","Required Skills / Experience:Ability to analyse dataBeing able to implement company strategies and adapt tone and voiceAn excellent command of the English language, other languages are an advantageBachelors/Masters Degree in Business or MarketingAt least 2 years of relevant marketing experience - building campaigns using direct marketing platforms is essential.",,0,1,0,Full-time,,,,Marketing
16692,Full-stack Web Engineer,"US, CA, San Francisco",,,"Runscope is building tools for developers working on API-driven mobile and web applications. We have a clear vision for the future of service-powered companies and the tools that will be required to build the next generation of applications. We're an experienced team backed by top-tier investors looking for people who share our passion for building great tools and want to help shape not just our products, but the company as well.Proven Work/Life BalanceA lot of companies talk about work/life balance, but we've to the data to prove how important to us it is. We've posted a breakdown of over 10,000 commits over the first year of the company showing when we work. See the stats.","As a Web Engineer at Runscope you'll be responsible for building a world-class, high-performance web application used by our customers every day. We win or lose customers based on their interaction with the web app so it's your responsibility to make sure it's a delightful and reliable experience.We're building tools we use ourselves every day, and we have high standards. You should too. We're a small team so everyone is a product manager. You will need to be able to prioritize what's important to build and understand our customers' needs at a very deep level. The tools you build will directly impact other developers so having a strong product vision is important for this role.This is a role for an experienced engineer looking to have significant influence over the direction of a product.","Extensive front-end web experience (HTML/CSS/JavaScript).Experience working with a front-end framework like Angular, Ember, Backbone or Knockout. We're going to ask your opinion of them and you should know when they're best applied.Experience with a server-side language (Python, Ruby, etc.) and web framework in a production environment.Experience consuming HTTP APIs. The more the better.Familiarity with Runscope Traffic Inspector and Runscope Radar.Experience working on customer-facing products with real-world usage.Bonus Points For:An understanding of different data persistence models and technologies (Postgres, Redis, etc.).Experience building developer tools, either as a product or open source.Experience leading a team of developers.","Be a part of an experienced team who have worked on some of the most popular web sites and developer tools.Competitive salary and meaningful equity.Medical, dental and vision insurance.401kFlexible working schedule and real work/life balance. Unlimited vacation and personal time.Casual work environment.Spec your own equipment — tell us what you need and it will be ready to go when you walk in on your first day.Spacious office space in the heart of San Francisco's SOMA neighborhood a short walk from BART or Caltrain.Relocation assistance.We laugh, a lot.",0,1,1,Full-time,Mid-Senior level,,,Engineering
1412,BigData Consultant,"US, CA, Campbell",,,"Innovative Data Science Solutions Insights, Pure-Play.Saama Technologies is one of the largest pure-play business analytics and data services company in the industry. We have over 15 years of history implementing big data management solutions for global clients in industries such as Life Sciences, Healthcare, Insurance, Financial Services, Hi-Tech, Media and the Public sector. We serve these clients from our offices in the U.S., Europe, and India. Due to our FOCUS, we have some of the most knowledgeable consultants and data scientists.Over the past few years, we have leveraged learnings from these engagements to develop Intellectual Property (IP) that enables us to rapidly deploy custom analytics solutions for our clients. Some of this IP includes a stack of tools for data discovery, collection and analysis, as well as enabling any SAP BusinessObjects Xcelsius dashboards for the iPad. Using best practices and methodology, we have reduced the cost and time needed to implement and support SAP BusinessObjects based analytics deployments, through our SAP BI Center of Excellence (BI COE). These products and capabilities give our clients significant leverage over competitors in time-to-value, because we deploy BI capabilities with SPEED at a lower cost.Since April 2010, we have further pushed the envelope on developing unique IP around our data analytics and big data expertise. We have developed advanced analytics frameworks and solutions that truly incorporate the combination of INNOVATIVE thinking, industry-specific requirements and big-data technology that are designed to help you get ahead of your peers in the industry. These solutions accelerate the custom development of purpose-built analytic solutions. Saama Solutions have been deployed at leading organizations such as AAA, Adobe, Cisco, Franklin Templeton, Genentech, Novartis and Synopsys in 12 to 15 weeks.FOCUS, SPEED and INNOVATION are the three pillars of our core. It defines who we are and how we bring value to our clients.","About the Job:&nbsp;&nbsp;&nbsp;This is a key role in the BI Platform development team.The role will interact with product owner, users and engineers, architects within team to understand business and technical aspects of product.Architect, design and develop high performance, scalable, reliable system in collaboration with a team of engineers.Interface with various teams to define requirements, interfaces and implementation approaches.Influence architecture, design and implementation across adjacent teams.Write high level and detailed technical design of the system.Have ability to work in a fast paced and dynamic work environment and develop robust ETL solution. Work in Agile development model.Have solid understanding of SDLC and project life cycles, strong analytical skills and communication skills.Take ownership of the Hadoop based ETL processes and enhance the same and implement new features and new ETL processes.","Basic/Minimum Job QualificationsStrong hands on expertise in&nbsp;Hadoop, HDFS,&nbsp;&nbsp;Pig, Java and Python.Strong hands-on experience with the overall Hadoop eco-system (HDFS, Map Reduce, Pig/Hive&nbsp;etc)Good knowledge in any of the databases like&nbsp;Oracle/MySQL, etcGood understanding of data processing such as dependencies management, ETL job scheduling.A strong team player who can be hands-on with creating framework and foundation code.Working experience with large scale Hadoop environments build and support including design, performance tuning and monitoring.Experience with versioning, change control managementExperience developing relational and dimensional database solutions using OracleStrong verbal and written communication skills.Preferred Job QualificationsExpertise in database programming (PL/SQL, triggers, and stored procedures)Expertise in dimensional data modeling, OLAP applications and data warehousing.Bachelors/Masters degree in computer science or related field",,0,1,1,,,,,
8516,Customer Care Agent (Night Shift with Spanish),"IE, , ",,,"ding* is the world’s largest top-up provider. Created to help people working abroad to support and keep in touch with loved ones back home, ding* provides the simplest, quickest and best top-up service ever. By keeping mobiles topped up, ding* is making a real difference to people’s lives.We’ve our head office in Dublin and also have homes in Miami, Dubai, Bucharest, Barcelona, Dhaka and San Salvador. What’s it like working here?ding* is currently providing 200 people the opportunity to top-up their careers every day. If you’re looking for a regular 9-5 role then this isn’t the place for you. If you want lots of challenges, a long to do list and plenty of opportunities then we’re your kind of place. Like our service, we’re all super fast and super reliable. We’re informal but productive. You’ll be expected to get through high volumes of work and to keep coming back looking for more. In return we throw great parties and like to mark record days or other occasions with impromptu surprises.  Working at ding* gives you the opportunity to work with, and learn from, genuinely passionate and driven people. Like our customers, our team members have joined us from all around the world. We come from different cultures, speak different languages yet we all share one thing in common; we care about sending top-up instantly and reliably.If you’re lucky enough to join the team, you’ll get to work in a great office environment without a gimmicky music room or sleep area but with truly spectacular coffee. And the best bit……we don’t hire schmucks, only team players with a sense of fun.","Customer Care Agent (Night Shift with Spanish)Are you looking for an opportunity to join an exciting company and be part of something really special?  Well how about this… ding* (known as ezetop in our past life) is looking for a vibrant and energetic Customer Care Agent to join our fast growing Online Operations team! Our Customer Operations Supervisors are searching for someone who is quick thinking, patient and passionate about providing a professional, world class Customer Care experience for our customers around the globe.Comprehensive on-going training will be provided but a positive, proactive attitude is the key to being successful in this role! You’ll also be contributing ideas and identifying key trends in queries from our customers and relaying this to the business.Here’s what you’ll do day to day:Manage and resolve customer and client queries raised by phone, email and live chatsIdentify emerging trends and issues and escalate these to your Team LeadEnsure our customers take an awesome experience away from ding* whether online or in retail locationsEnsure responses are sent in a timely, professional manner and meet all established quality and customer satisfaction metricsProvide feedback and information to the business to ensure we continually improve our customer experience!Be part of our 24/7 Customer Care TeamAnd here’s what we’re looking for:Fluent written and spoken Spanish and EnglishKnowledge of Microsoft technologies – Outlook, Word, ExcelA desire to learn, continually improve and a passion for troubleshooting are essentialStrong time management skills, high attention to detail, and the ability to prioritise workloadA good attitude to customer care is vital!Ability to work and contribute as part of a small but dedicated and fast-growing teamP.S.• Previous Customer Care or night shift experience would be great!• Experience working with CRM and contact centre software is an advantage• Additional languages (Italian or French would be a distinct advantage)• Knowledge of e-commerce, online payments, and/or fraud would be fantastic So what’s it like working here?ding* is currently providing 200 people the opportunity to top-up their careers every day. If you’re looking for a regular 9-5 role then this isn’t the place for you. If you want lots of challenges, a long to do list and plenty of opportunities then we’re your kind of place. Like our service, we’re all super fast and super reliable. We’re informal but productive. You’ll be expected to get through high volumes of work and to keep coming back looking for more. In return we throw great parties and like to mark record days or other occasions with impromptu surprises.  Working at ding* gives you the opportunity to work with, and learn from, genuinely passionate and driven people. Like our customers, our team members have joined us from all around the world. We come from different cultures, speak different languages yet we all share one thing in common; we care about sending top-up instantly and reliably.If you’re lucky enough to join the team, you’ll get to work in a great office environment without a gimmicky music room or sleep area but with truly spectacular coffee. And the best bit……we don’t hire schmucks, only team players with a sense of fun. ding*ding* is the world’s largest top-up provider. Created to help people working abroad to support and keep in touch with loved ones back home, ding* provides the simplest, quickest and best top-up service ever. By keeping mobiles topped up, ding* is making a real difference to people’s lives.We’ve our head office in Dublin and also have homes in Miami, Dubai, Bucharest, Barcelona, Dhaka and San Salvador. ",,,0,1,1,Full-time,,,Telecommunications,Customer Service
4990,English Teacher Abroad (Conversational),"US, MN, Duluth",,,We help teachers get safe &amp; secure jobs abroad :),"Play with kids, get paid for it.Vacancies in Asia$1500 USD + monthly ($200 Cost of living)Housing providedAirfare ReimbursedExcellent for student loans/credit cardsGabriel Adkins (#URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7#)#URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#We are looking for friendly people. If you do not plan to take part in a 3-5 minute interview, kindly do not waste your time applying :-)","University degree required. TEFL / TESOL / CELTA, and/or teaching experience preferredCanada/US passport holders only",See job description,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education
362,Junior System Test Analyst,"GB, CMD, London",Technology,19000-19000,"The Technical Team and offering at VML London has a very strong heritage dating back to the mid-nineties when the London office was founded. Back in those days we were one of the first few purely digital marketing agencies in London; and back then things were a lot more technically driven than they often are today; as such the Technology team here continues to enjoy a strong strategic influence on the work that the agency undertakes and the clients that we engage.It just works.Technology is brilliant when you don’t have to think about it. That’s what we strive for in our solutions. Our technology team has a strong strategic influence on the work we undertake and are involved as soon as the brief lands. They stay involved throughout strategy, creative concepting and design. Acting as important enablers, we bring new and emerging technology to the table to successfully marry the requirements of our clients with the vision of our creatives.Open standards, open minds.We aim to deliver the most elegant technical solution for your budget, and maintain a technology agnostic approach to development in order to achieve that. Technology can be expensive, both in terms of hard costs and costly mistakes, so we’re as careful with your money as we are with our own.   Perhaps that’s why some of our clients have been with us for over 10 years. When faced with a new problem our first instinct is always to see if someone else has already solved it. As such, the solutions we design are built on the rich eco-system of open source software (OSS); the proven and battle-tested kind that we know will not just do the job quickly and cost-effectively, but also robustly. Where OSS isn't appropriate we always favour solutions that are built to open standards that we know will integrate well with other technologies.Strong partnerships.Our work is complemented by strong partnerships with technology vendors and suppliers.   Proven over time, our established strategic relationships with many of the leaders in software, hardware and other technology solutions help ensure we’re able to continue to offer best-in-class technical solutions for our clients.What we do:High availability and high performance website architecture &amp; developmentWeb content management solutionsCreative technology ideationContent optimisation, search and analyticsHigh volume, multi-locale email campaignsMobile optimisationLocalisation","At VML, testing is an integral part of our software development process. Beyond merely a final quality assurance check before a project goes out the door, we assure quality by building in testing and planning for testing from day one of our projects. Using both manual inspection and automated methods, our software has been tested thousands of times before going live. The increasingly complex high availability – high performance web applications, mobile sites and applications and digital experiences we build require quality software engineering and the VML system testing team is our backstop to make sure our development is as good as can be.As such VML are looking for a Junior System Test Analyst to join our team and help improve the quality level even further. We are looking for someone who is passionate about testing and quality. As a Digital Agency, the range of VML’s products include everything from eCRM and eNewsletter campaigns, social networking apps, complex mobile websites as well as some of the UK’s most popular websites, and as part of our testing team you will be working across all of these, often at the same time!","Execute requirements based manual test casesContribute to test plansAssist development team with early and often testing of work in progress softwareExecute test methods as proscribed by test plans:  functional, end-user testing, ad-hoc and exploratory testingCommunicate with technical and non-technical colleaguesCommunicate with customer testing and QA stakeholdersUnderstand the software development process/life cycleWork with Project Managers, Departmental Heads and our Creative Services team to resource plan and allocate testing workSkills:Good at finding well hidden software defects through exploratory testingExcellent organizational, interpersonal, presentation and communication skillsKnowledge of OWASP security and penetration testing techniques including testing for XSS and SQL injection attacksAbility to work on multiple tasks against deadlines and shifting priorities and comfortable dealing with uncertainty, ambiguity and changeQuality assurance of digital production items such as rich email newsletters, static HTML websites and interactive experiencesHolds a Bachelor’s degree in Computer Science, Software Engineering, or a related field or equivalent work experienceAn ISTQB qualification or working towards it an advantage.ExperienceTesting on various web browsers including older browsers back to IE6, including use of browser virtualisation solutions such as BrowserStackCross browser testing on different platforms (Mac and PC, Tablets, mobile phones)Knowledge of defect life cycle, V model and has worked with defect tracking applications e.g. Jira, BugzillaUse of Jira and other issue tracking toolsRecording of web testing tools and automation through script recording with Selenium IDE and execution of WebDriver automated regression testsExposure to Agile software developmentExposure to the Waterfall software development modelInterest in the wider field of quality management in software engineeringContribution to estimating process for testing activitiesExperience in web standards compliance testing including validation and accessibility testing in accordance with W3C web content accessibility guidelinesJava programming and Linux system administration skills an advantageKey relationships:Head of Technical department, for testing of web and mobile sites and applicationsProject Managers, for creating test plans and estimatesCreative Director, for quality assurance of digital production work",,0,1,1,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Engineering
8251,Head of Community,"GB, LND, London",,,"Seedcamp is Europe's leading micro-seed investment fund and mentoring program. Since launching in 2007, our family now includes 70 of Europe's most promising startups with several acquisitions (Ubervu by Hootsuite, Mobclix bought by Velti, RentMineOnline bought by RealPage).Backed by an awesome team, board, and group of investors, we are incredibly active and run events and invest in startups throughout Europe every month.","The JobBuild relationships with the mentor, investor, media, and partner ecosystem – communicate and manage for a long-term relationship with SeedcampWork closely with entrepreneurs applying to and participating in Seedcamp programmeOrganizing and involving mentors for Seedcamp Week, Academy, US tripSpeak about Seedcamp at public events - both Seedcamp and non-Seedcamp eventsUse startup products, stay up to date and knowledgeable about what new products and tech are emergingSupport the Seedcamp selection and investment processOften the first point of contact for our portfolioAbout YouLive and breathe technology and startups and are passionate about empowering founders and growing the startup communityCombination of gravitas (with the network) and being a peer with foundersGregarious, engaging, smart, high integrityHave experience working in startup environment, you have solid knowledge about marketing, growth and product as relevant for startups.Experience with managing content (events, publications/blogs, etc).Experience collecting and analysing metrics - you can data crunch with our startups.Bonus PointsTalk the talk and walk the walk with startup foundersWork with great tech toolsTo apply for the role please upload an up-to-date copy of your CV with a short covering note. Be sure to include links to your work and show us how awesome a tech writer you are.Questions: careers [at] #URL_0a8a7864538bfc4aeac7fb8016ef568e0acfdfc39a7907bd06076e93132d669c#",,,0,1,0,Full-time,Not Applicable,Unspecified,Venture Capital & Private Equity,Other
